Ticker Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Country,Date first added,CIK,Financials?
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",United States,11/14/2008,1174922,1
XEL,Xcel Energy Inc,reports,Utilities,MultiUtilities,"Minneapolis, Minnesota",United States,,72903,1
XRX,Xerox Corp.,reports,Information Technology,IT Consulting & Other Services,"Norwalk, Connecticut",United States,,108772,1
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,"San Jose, California",United States,,743988,1
XL,XL Capital,reports,Financials,Property & Casualty Insurance,Hamilton,Bermuda,,875159,1
XYL,Xylem Inc.,reports,Industrials,Industrial Conglomerates,"White Plains, New York",United States,11/1/2011,1524472,1
YHOO,Yahoo Inc.,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",United States,,1011006,1
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",United States,10/6/1997,1041061,1
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",United States,,1136869,1
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",United States,,109380,1
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",United States,6/21/2013,1555280,1
